Date,Open,High,Low,Close,Volume
2023-01-01,100.0,105.0,95.0,102.0,1000000
2023-01-02,101.0,106.0,96.0,103.0,1100000
2023-01-03,102.0,107.0,97.0,104.0,1200000
2023-01-04,103.0,108.0,98.0,105.0,1300000
2023-01-05,104.0,109.0,99.0,106.0,1400000
2023-01-06,105.0,110.0,100.0,107.0,1500000
2023-01-07,106.0,111.0,101.0,108.0,1600000
2023-01-08,107.0,112.0,102.0,109.0,1700000
2023-01-09,108.0,113.0,103.0,110.0,1800000
2023-01-10,109.0,114.0,104.0,111.0,1900000
2023-01-11,110.0,115.0,105.0,112.0,2000000
2023-01-12,111.0,116.0,106.0,113.0,2100000
2023-01-13,112.0,117.0,107.0,114.0,2200000
2023-01-14,113.0,118.0,108.0,115.0,2300000
2023-01-15,114.0,119.0,109.0,116.0,2400000
